X,Y,Z,label
-0.7109,-0.3711,0.5547,lean_right
-0.7539,-0.2109,0.6211,lean_right
-0.7852,-0.2930,0.5273,lean_right
-0.7891,-0.3555,0.4258,lean_right
-0.7969,-0.4727,0.3711,lean_right
-0.7695,-0.5156,0.3398,lean_right
-0.7188,-0.5742,0.3477,lean_right
-0.7539,-0.4766,0.3711,lean_right
-0.7578,-0.4492,0.3789,lean_right
-0.7539,-0.5430,0.3750,lean_right
-0.7461,-0.4961,0.3633,lean_right
-0.8008,-0.3984,0.4453,lean_right
-0.7969,-0.3438,0.3906,lean_right
-0.8242,-0.4297,0.3633,lean_right
-0.8320,-0.4336,0.4102,lean_right
-0.7969,-0.3906,0.3945,lean_right
-0.7891,-0.3789,0.4336,lean_right
-0.7734,-0.4453,0.4570,lean_right
-0.7578,-0.4922,0.4570,lean_right
-0.7422,-0.5078,0.4102,lean_right
-0.7070,-0.5313,0.4141,lean_right
-0.7031,-0.5195,0.4492,lean_right
-0.7148,-0.5078,0.4922,lean_right
-0.6914,-0.5391,0.4609,lean_right
-0.6836,-0.5313,0.4531,lean_right
-0.6797,-0.5430,0.4844,lean_right
-0.6641,-0.5430,0.4883,lean_right
-0.6563,-0.5508,0.4805,lean_right
-0.6523,-0.5625,0.4727,lean_right
-0.6563,-0.5547,0.5000,lean_right
-0.6523,-0.5586,0.4844,lean_right
-0.6484,-0.5469,0.4883,lean_right
-0.6484,-0.5508,0.4922,lean_right
-0.6563,-0.5430,0.4961,lean_right
-0.6602,-0.5430,0.5039,lean_right
-0.6641,-0.5352,0.4883,lean_right
-0.6680,-0.5234,0.4961,lean_right
-0.6758,-0.5273,0.5000,lean_right
-0.6719,-0.5313,0.4922,lean_right
-0.6680,-0.5273,0.4883,lean_right
-0.6680,-0.5352,0.4922,lean_right
-0.6641,-0.5313,0.5000,lean_right
-0.6758,-0.5234,0.4961,lean_right
-0.6641,-0.5391,0.4883,lean_right
-0.6602,-0.5469,0.4922,lean_right
-0.6563,-0.5430,0.4961,lean_right
-0.6523,-0.5469,0.4883,lean_right
-0.6641,-0.5313,0.5039,lean_right
-0.6484,-0.5469,0.4922,lean_right
-0.6484,-0.5469,0.4961,lean_right
-0.6445,-0.5547,0.4883,lean_right
-0.6484,-0.5547,0.4961,lean_right
-0.6406,-0.5625,0.4961,lean_right
-0.6445,-0.5547,0.4961,lean_right
-0.6406,-0.5664,0.4648,lean_right
-0.6484,-0.5820,0.4805,lean_right
-0.6445,-0.5820,0.4688,lean_right
-0.6367,-0.5820,0.4688,lean_right
-0.6367,-0.5859,0.4805,lean_right
-0.6328,-0.5820,0.4727,lean_right
-0.6367,-0.5859,0.4805,lean_right
-0.6328,-0.5781,0.4766,lean_right
-0.6328,-0.5898,0.4844,lean_right
-0.6328,-0.5898,0.4844,lean_right
