X,Y,Z,label
-0.2227,0.0117,0.9219,slouching
-0.2305,0.0039,0.9180,slouching
-0.2187,0.0078,0.9180,slouching
-0.2187,0.0039,0.9258,slouching
-0.2187,0.0078,0.9219,slouching
-0.2187,0.0039,0.9141,slouching
-0.2187,0.0039,0.9180,slouching
-0.2187,0.0078,0.9219,slouching
-0.2227,0.0039,0.9258,slouching
-0.2187,0.0039,0.9141,slouching
-0.2187,0.0039,0.9141,slouching
-0.2227,0.0078,0.9219,slouching
-0.2266,0.0117,0.9180,slouching
-0.2266,0.0039,0.9180,slouching
-0.2227,0.0078,0.9180,slouching
-0.2187,0.0078,0.9219,slouching
-0.2187,0.0117,0.9258,slouching
-0.2187,0.0078,0.9180,slouching
-0.2187,0.0039,0.9180,slouching
-0.2227,0.0039,0.9141,slouching
-0.2148,0.0000,0.9180,slouching
-0.2266,0.0039,0.9219,slouching
-0.2227,0.0039,0.9258,slouching
-0.2227,0.0000,0.9180,slouching
-0.2266,0.0039,0.9102,slouching
-0.2266,0.0039,0.9141,slouching
-0.2109,0.0039,0.9141,slouching
-0.2187,0.0039,0.9180,slouching
-0.2227,0.0039,0.9141,slouching
-0.2187,0.0000,0.9180,slouching
-0.2187,0.0078,0.9219,slouching
-0.2227,0.0078,0.9102,slouching
-0.2227,0.0117,0.9180,slouching
-0.2227,0.0039,0.9102,slouching
-0.2227,0.0000,0.9219,slouching
-0.2148,0.0039,0.9258,slouching
-0.2227,0.0039,0.9180,slouching
-0.2266,0.0039,0.9180,slouching
-0.2227,0.0039,0.9141,slouching
-0.2148,0.0039,0.9219,slouching
-0.2148,0.0000,0.9219,slouching
-0.2109,0.0078,0.9258,slouching
-0.2227,0.0039,0.9141,slouching
-0.1992,-0.0039,0.9219,slouching
-0.2227,0.0000,0.9141,slouching
-0.2187,0.0039,0.9141,slouching
-0.2109,0.0000,0.9141,slouching
-0.2148,0.0000,0.9219,slouching
-0.2109,0.0000,0.9180,slouching
-0.2148,0.0039,0.9180,slouching
-0.2187,0.0117,0.9219,slouching
-0.2187,0.0039,0.9141,slouching
-0.2227,0.0039,0.9180,slouching
-0.2109,0.0078,0.9141,slouching
-0.1992,0.0000,0.9258,slouching
-0.2148,0.0039,0.9141,slouching
-0.2070,0.0000,0.9219,slouching
-0.2187,0.0078,0.9141,slouching
-0.2109,0.0039,0.9180,slouching
-0.2148,0.0039,0.9219,slouching
-0.2148,0.0039,0.9180,slouching
-0.2187,0.0039,0.9180,slouching
-0.2187,0.0039,0.9141,slouching
-0.2109,-0.0039,0.9102,slouching
-0.2148,0.0039,0.9258,slouching
-0.2187,0.0039,0.9102,slouching
-0.2148,0.0039,0.9180,slouching
-0.2148,0.0039,0.9219,slouching
-0.2187,0.0000,0.9219,slouching
-0.2305,0.0078,0.9141,slouching
-0.2227,0.0039,0.9180,slouching
-0.2148,0.0039,0.9141,slouching
-0.2187,0.0039,0.9180,slouching
-0.2148,0.0078,0.9219,slouching
-0.2109,0.0039,0.9219,slouching
-0.2227,0.0078,0.9219,slouching
-0.2148,0.0039,0.9141,slouching
-0.2109,0.0000,0.9180,slouching
-0.2148,0.0000,0.9219,slouching
-0.2109,0.0039,0.9258,slouching
-0.2148,0.0000,0.9180,slouching
-0.2070,-0.0039,0.9219,slouching
-0.2148,0.0078,0.9219,slouching
-0.2148,0.0078,0.9219,slouching
-0.2227,0.0039,0.9180,slouching
-0.2148,0.0078,0.9180,slouching
-0.1914,0.0039,0.9219,slouching
-0.2305,0.0078,0.9180,slouching
-0.2227,0.0039,0.9180,slouching
-0.2031,0.0039,0.9180,slouching
-0.2187,0.0039,0.9219,slouching
-0.2187,0.0039,0.9258,slouching
-0.2187,0.0117,0.9180,slouching
-0.2148,0.0000,0.9180,slouching
-0.2187,0.0039,0.9180,slouching
-0.2227,0.0039,0.9219,slouching
-0.2109,0.0039,0.9219,slouching
-0.2227,0.0039,0.9141,slouching
-0.2109,0.0039,0.9258,slouching
-0.2148,0.0039,0.9258,slouching
-0.2148,0.0039,0.9258,slouching
-0.1953,-0.0195,0.9219,slouching
-0.2070,0.0000,0.9102,slouching
-0.2070,-0.0078,0.9258,slouching
-0.2383,0.0078,0.9023,slouching
-0.1797,-0.0078,0.9336,slouching
-0.2383,0.0234,0.9180,slouching
-0.2383,0.0039,0.9023,slouching
-0.2227,0.0156,0.9180,slouching
-0.2305,0.0078,0.9219,slouching
-0.2500,0.0195,0.9219,slouching
-0.2305,0.0078,0.9219,slouching
-0.2227,0.0078,0.9258,slouching
-0.2227,0.0039,0.9102,slouching
-0.2266,0.0078,0.9219,slouching
-0.2187,0.0039,0.9219,slouching
-0.2305,0.0078,0.9141,slouching
-0.2266,0.0078,0.9180,slouching
-0.2344,0.0156,0.9219,slouching
-0.2187,-0.0078,0.9297,slouching
-0.2305,0.0078,0.9180,slouching
-0.2227,0.0039,0.9219,slouching
-0.2305,0.0078,0.9141,slouching
-0.2344,0.0039,0.9102,slouching
-0.2344,0.0117,0.9258,slouching
-0.2031,-0.0039,0.9258,slouching
-0.2187,0.0000,0.9297,slouching
-0.2227,0.0117,0.9141,slouching
-0.2227,0.0000,0.9219,slouching
-0.2187,0.0000,0.9141,slouching
-0.2187,0.0039,0.9141,slouching
-0.2187,-0.0039,0.9180,slouching
-0.2227,0.0117,0.9219,slouching
-0.2266,0.0078,0.9141,slouching
-0.2266,-0.0039,0.9141,slouching
-0.2227,0.0156,0.9180,slouching
-0.2109,0.0000,0.9180,slouching
-0.2109,0.0039,0.9219,slouching
-0.2266,0.0117,0.9141,slouching
-0.2109,0.0078,0.9180,slouching
-0.2109,0.0039,0.9258,slouching
-0.2422,0.0195,0.9141,slouching
-0.1953,0.0000,0.9336,slouching
-0.2500,0.0156,0.9062,slouching
-0.2148,0.0586,0.9297,slouching
-0.2187,-0.0039,0.9180,slouching
-0.2266,0.0117,0.9219,slouching
-0.1914,-0.0117,0.9336,slouching
-0.2344,0.0234,0.9180,slouching
-0.2305,0.0156,0.9219,slouching
-0.2187,0.0117,0.9219,slouching
-0.2461,0.0195,0.9219,slouching
-0.2266,0.0078,0.9023,slouching
-0.2148,0.0156,0.9180,slouching
-0.2461,0.0273,0.9141,slouching
-0.2187,0.0039,0.9219,slouching
-0.2422,0.0117,0.9102,slouching
-0.2187,0.0039,0.9180,slouching
-0.2187,0.0039,0.9219,slouching
-0.2266,0.0078,0.9141,slouching
-0.2305,0.0273,0.9219,slouching
-0.2344,0.0156,0.9141,slouching
-0.2266,0.0039,0.9258,slouching
-0.2227,0.0039,0.9141,slouching
-0.2148,0.0039,0.9141,slouching
-0.2266,0.0195,0.9219,slouching
-0.2227,0.0078,0.9141,slouching
-0.2344,0.0195,0.9180,slouching
-0.2109,0.0039,0.9258,slouching
